modello,alpha,C,r2_test
baseline,0.18761656850491362,1.4763773682519967,0.43282227038202925
CK17,-0.044,2.7259141480918427,-0.3172985214364106
Muller2024,-0.06,2.812231757434257,-0.4189825198025543
Otegi2020,0.63,-0.9102151454573338,-1.887322990543871
PySR_stabile,formula,n/a,0.6420512890580173
