alpha,beta,r2_test
0.05678915403389177,12.696912948347585,0.636155390029237
0.055391231115625904,12.897964831142719,0.6480697721050132
0.059601830673741,12.344386032586709,0.6032734748054617
0.05398327042288015,13.053354994135463,0.6641608907621828
0.060155490915987854,12.296373528013913,0.5926264093995228
0.058960252601370305,12.431215514693296,0.6098701354641711
0.058071123645572396,12.544342642577446,0.6201357931211923
0.059720275991777705,12.307054917233067,0.6051597084314093
0.060082851206151276,12.302321070530791,0.5941393235063317
0.05614589907834343,12.76926061503985,0.644190782864537
0.059178437332336936,12.352207470368864,0.6141161413248062
0.05513853935298713,12.950558289842366,0.6477408398558302
0.059609080518684895,12.330476198406664,0.6052067184385371
0.05867406154385997,12.45180172540185,0.6157296368415371
0.05597709549151348,12.821754823987943,0.6419546796709135
0.05521288044512684,12.92582268585673,0.6492520592866742
0.05962551101895145,12.353616937821755,0.6008309699454135
0.06158410338813594,12.133113779669195,0.5719113886336055
0.05886566235853876,12.458235867873169,0.6081682398976034
0.056449241940407395,12.74158401471844,0.6396607193982262
0.06239815219249503,12.020437749366044,0.5640961791090263
0.05704208350550865,12.66391156606729,0.6334893813545144
0.055277741073432994,12.909900633338925,0.649615456514169
0.05543694464558626,12.872127741025382,0.6501000134419851
0.05982357304004105,12.312162032592816,0.6013192458979626
0.054865786568007294,12.93181797308389,0.6569061189347095
0.05614787494473207,12.787090951316864,0.641955961392309
0.05587382517337996,12.85990894725104,0.6388883367117526
0.05569924942242787,12.837716285297764,0.6475202982284417
0.05884542506681668,12.44948455851523,0.6105539392100077
0.05480918816776146,12.926423015101047,0.6582659258697322
0.05665081093821081,12.724053204626983,0.6363253074339589
0.057461645308086534,12.580418342104949,0.6324586620219942
0.05738663578041238,12.61279225415687,0.6306681313712704
0.05689290239881652,12.730868291482281,0.6268259709040636
0.05629343309144477,12.738333210622635,0.6438954031630597
0.057185775410242216,12.613423114265181,0.6356160595799937
0.056484383573516386,12.745736372049338,0.6380847722538727
0.060459059544085286,12.23117694697313,0.5937915927245669
0.055959575693837325,12.779483872934605,0.6473956195660008
0.060566917749049126,12.225948099907153,0.5911278221765599
0.0547410361333709,13.013094441004869,0.6502056883595273
0.05390818845689764,13.099400321611473,0.6616839199486017
0.05704497954170172,12.664330959855866,0.6333478952211689
0.056235478071775716,12.777174474481836,0.6408376796386541
0.059226711436170844,12.393376077268185,0.6074466546147063
0.058970354308495086,12.441923333640851,0.6075368549234175
0.05785935357935437,12.540343265936253,0.6269641520352016
0.05845458941907941,12.500274579591213,0.614892726018421
0.05522868791186833,12.88246449547078,0.6537238918374482
0.052966543351360536,13.205400450900576,0.6711321197709863
0.05825931825348105,12.506212070583361,0.6202344290291748
0.06035408198371219,12.274554219453787,0.5895874170825834
0.05487103378147004,12.999178713086913,0.6482893672218686
0.057890469316620854,12.500371400479509,0.6298230113045544
0.05565998830712224,12.82035333685687,0.650132377817265
0.05561115072177452,12.853049656247384,0.6479480996007472
0.05835231109061611,12.468029711312234,0.6225209441786308
0.06140574632183692,12.120956557654926,0.5807280625328296
0.059131129232279166,12.413157847764381,0.6072262085717984
0.05446289066259427,13.03373031892902,0.6554639412785961
0.05839787501976702,12.496806901816688,0.6173743296076764
0.05632077102436043,12.727205462566882,0.6442884771278016
0.05322143177211243,13.18722750008965,0.6680094125462415
0.057784197206675686,12.567834241637517,0.6254469646799458
0.05397496222827888,13.096151374384087,0.6604195357177512
0.05589323234825013,12.85179541592618,0.6396957221676711
0.05537241041567206,12.928665729857459,0.6437541674643725
0.057806083798468244,12.54315884233985,0.6280072010642945
0.05692329658544323,12.660579917217746,0.6370507300413779
0.05580657540429673,12.844248863819336,0.6437038663184866
0.058357496615326125,12.478999189237038,0.6211242201920637
0.05619339271197445,12.794912292741138,0.6394584785672732
0.05538713615874375,12.837116494932365,0.6538962327087379
0.0571933676957585,12.657598898574468,0.6298658351156996
0.0564309446399769,12.752704380531954,0.6386469546333778
0.05756878920961156,12.615209907987676,0.6246946852320108
0.057117684798011124,12.666554677913894,0.6308261048495569
0.05689185297100413,12.702690631279253,0.6321690514691265
0.054146921588103726,13.088099277425796,0.6568022225150254
0.05709293998819072,12.647656667515662,0.6342148781291971
0.05447754739631535,12.995739616140956,0.6593435586528462
0.054948462847963675,12.979067599813648,0.6491499987384106
0.05696562782654221,12.713258957991886,0.6276796210727249
0.05665955751825132,12.746144316041727,0.6323849323952867
0.05417473079730654,13.084829033509148,0.6564657348773668
0.058605788468597195,12.45690519474804,0.6170310346049381
0.05683728379087636,12.678017490084907,0.6372435481442777
0.05811322049957084,12.521418400613324,0.6223832080341667
0.05465565918471565,12.973708981272862,0.6576052770318291
0.05838951027588499,12.466493760535164,0.6217550605620232
0.057030921282090315,12.62263434990682,0.638096140664171
0.05391473806948801,13.058926369204064,0.6649261744844311
0.058600387485226654,12.426962702863644,0.6206517124136264
0.055658014485318145,12.811229111396292,0.6508558832715967
0.056655804039154246,12.73177448774077,0.634981661032304
0.05668229067137969,12.722056802707726,0.6356763240251421
0.0589628462901503,12.443507663840425,0.6075015762727494
0.056139450053413115,12.796158229159722,0.640912157117729
0.057735620750703695,12.588706722794724,0.6236923144773711
0.05610962414314988,12.787623360654225,0.6429404694115707
0.05635832203937652,12.753058756828754,0.6406528297919175
0.058646832075573814,12.46157929586901,0.6150791762186772
0.057638938650051985,12.583478861545634,0.6274822738479583
0.05530024873441676,12.942367063736686,0.6437599974977
0.05781766819353422,12.566150976872619,0.6246887740475306
0.055104313075746376,12.873725396821722,0.6564088870553887
0.05605201984290862,12.775011027954827,0.6457977618021902
0.05722510512469136,12.657377490850353,0.6288803403625323
0.05758982678698778,12.598639303515437,0.62673152361275
0.05599305534906426,12.819158535998408,0.6418648803359523
0.05887676153995624,12.40719764074151,0.6158895367832343
0.05549294201289787,12.89299200319393,0.6458000494751199
0.054548806087939564,13.009422401004546,0.6563000841831943
0.05716453022939979,12.638128287497903,0.6334853910823615
0.05815660066857415,12.53682736533636,0.6185744313425715
0.055485996942757417,12.865611580810297,0.6496296739956031
0.05691916946311383,12.630470551766022,0.6396720398109871
0.055625729240877435,12.824522653505264,0.6504832994498138
0.059103088040145656,12.414065773825682,0.6080291394408128
0.056497858149724585,12.741218978062872,0.6383386069645485
0.05446227155796428,12.999916382256304,0.6592914610436853
0.05981110045644264,12.356783876310518,0.5930387648560403
0.05727504221278666,12.59324578410424,0.6354080982208281
0.0556042680838926,12.870472162761782,0.6458328705643154
0.05505574357134122,12.930313455046676,0.652882723531059
0.057320471937970345,12.642332143097239,0.6282815177627894
0.0511775858893792,13.553815926810847,0.6753443347003583
0.05856249828862513,12.458980354236243,0.6180018624800097
0.05898003863719316,12.387115505644035,0.6154724718203894
0.05933627879274705,12.351237171010904,0.6102595651349823
0.05733511268532186,12.646021651036989,0.6271785364221982
0.05735892359431717,12.625667248752357,0.6296761460478897
0.05752900580741586,12.617707793823543,0.625591370419882
0.05752354014241873,12.629577950565766,0.6236549953533905
0.05859937915027236,12.45509795901873,0.6174694982980146
0.05487960652400118,12.96167123271403,0.6536163307817039
0.05644036574288609,12.713613454123582,0.6429316417731817
0.05510008654003575,12.9250011297318,0.6523934245750065
0.05729154401798669,12.625710739849827,0.6316107631094797
0.05788203026603827,12.56025027042045,0.6236117325034949
0.056478374807370134,12.755382075525086,0.6368015520669309
0.055708009705148574,12.82709152561597,0.6484690114199725
0.05415017698574135,13.035672654670508,0.6624646141348958
0.05737993777020878,12.619769219630376,0.6299054339886788
0.05653585877578662,12.693373306567736,0.6426165812714912
0.05782776689393031,12.570959402459009,0.6236306220658223
0.055352451620371515,12.925644176293869,0.6449598645300199
0.059095451815405216,12.425692063506284,0.6061391816519328
0.05741035771839062,12.585914923213416,0.6331112308661511
0.05925431333728643,12.376223768669464,0.6092708120799935
0.05721438446250855,12.623797979505783,0.6338883576701486
0.058835298998865235,12.44058033510203,0.6124241028993951
0.057249912820436274,12.677874119086225,0.6241934629375359
0.05614399414562801,12.76838520599037,0.6443312284630827
0.05514786160269439,12.924526282615508,0.6512210637782572
0.05725338213095512,12.647623277569977,0.6295624682650769
0.056429326217354026,12.752602220019819,0.6387091273654903
0.05839431032391059,12.458367951131777,0.6224890377083823
0.055385680974251575,12.863231280600447,0.652140917629663
0.05749274992053011,12.598520041750957,0.6295942058006314
0.057034178124375605,12.660915000646105,0.6341174549769055
0.05743197338431074,12.567794376511598,0.6341496757402397
0.05702425834956204,12.69784628845112,0.6285335159510237
0.056840452027229905,12.680625666068053,0.6368512357192507
0.05907929579958877,12.374857770849479,0.6142849836178073
0.0571860803063589,12.640841151138662,0.6325468224001705
0.05983721026633942,12.281752471507268,0.6050122678836838
0.05656173283194167,12.73651524275895,0.6371422099877146
0.05709832756020263,12.6761098217016,0.6298815502079278
0.0543004533898048,13.031652135361982,0.6597768286090528
0.059807027634352264,12.332510697709612,0.5983281220450594
0.05927337966992119,12.370287529612543,0.6095502850806859
0.05739709942242311,12.606036898394736,0.6312452969198061
0.05789477549448755,12.533316253730503,0.6268620026465257
0.05761159078227407,12.630669986457898,0.6201942831641913
0.05754996007185778,12.61756515694516,0.6249173051966292
0.06042708464812241,12.25694650252402,0.5903967779320066
0.05681825416986142,12.696668833420157,0.6353573702490855
0.05844686401155008,12.495125846911145,0.6160547597252655
0.05413455597036219,13.066704590817903,0.6599047573344794
0.060978848426696895,12.166080917781422,0.5873643602914025
0.0603489364339884,12.27462773006523,0.5897683872690993
0.06067038838133839,12.209249151597163,0.5904738601991717
0.057943404811185706,12.589897384142803,0.6159878675711867
0.054733842804812055,12.99944354632925,0.6525627170711357
