group,n_test,r2_baseline,alpha_baseline,r2_chen_kipping2017,r2_pysr_original,r2_pysr_simplified,r2_degradation,formula_original,formula_simplified
sub_terr,13,0.735781363730326,0.22785157738802556,0.7160659344118321,0.6565274754333403,0.6581776895817684,-0.0016502141484280308,(logMp - (-1)*0.0038936962/FeH)/(logMp*logMp + 2.6476212),(logMp - (-1)*0.0039/FeH)/(logMp*logMp + 2.6)
rocky_SE,17,-0.0920908855839091,0.05176581244590828,-7.468805996517574,0.04323226088538257,-0.00018245654362725183,0.04341471742900982,0.539813 - 0.0023594187/(logMp - 1*1.4524778),0.54 - 0.0024/(logMp - 1*1.5)
sub_nep,47,0.11789322554442672,0.12196184662235511,-3.990960550512635,-0.07568990701408151,-0.257172967212282,0.18148306019820049,(FeH/(logP - 1.3652595) + logMp)**0.2345054 - 0.20659608,(FeH/(logP - 1.4) + logMp)**0.23 - 0.21
gas,147,0.48596598007164193,0.1870647205232587,0.44090639366719786,0.6692135502694379,0.6693781652919899,-0.0001646150225520504,logMp*(logF*0.00308879 + 0.85000783)**logMp,logMp*(logF*0.0031 + 0.85)**logMp
