group,n_train,n_test,best_seed,r2_test_obs,resid_ci_low,resid_ci_high,pair_ci_low,pair_ci_high,bca_ci_low,bca_ci_high,r2_baseline,alpha_baseline,delta_r2,perm_pval_approx,formula,n_test_temporal,r2_temporal,r2_baseline_temporal,delta_r2_temporal
sub_terr,50,13,0,0.6565274754333403,0.08186199005415287,0.8311535795990161,-0.03666158794700937,0.8840907052438323,0.09443760510205673,0.8969789530602305,0.735781363730326,0.22785157738802556,-0.07925388829698565,0.0,(logMp - (-1)*0.0038936962/FeH)/(logMp*logMp + 2.6476212),22,0.24958362262269607,0.37357354771384876,-0.1239899250911527
rocky_SE,67,17,123,0.04323226088538257,-0.4385400858853791,0.28614447127803094,-0.5051532090720675,0.27783880095152746,-0.25029306424518427,0.36835251191582913,-0.0920908855839091,0.05176581244590828,0.13532314646929167,0.0,0.539813 - 0.0023594187/(logMp - 1*1.4524778),26,-0.054189802838358725,0.06873493468621139,-0.12292473752457012
sub_nep,184,47,0,-0.07568990701408151,0.19790133208956212,0.5418934867671263,-0.577272629914111,0.2633871643789691,-0.7271885988765081,0.23735217819915808,0.11789322554442672,0.12196184662235511,-0.19358313255850823,0.0,(FeH/(logP - 1.3652595) + logMp)**0.2345054 - 0.20659608,85,0.27775419982497884,0.27130669272674846,0.006447507098230387
gas,587,147,0,0.6692135502694379,0.4849282911774908,0.6932021992211584,0.5775426165404934,0.7443404616128672,0.5961229350830962,0.7516977251333503,0.48596598007164193,0.1870647205232587,0.18324757019779592,0.0,logMp*(logF*0.00308879 + 0.85000783)**logMp,228,0.6475054399490154,0.4287559028234599,0.21874953712555556
