complexity,loss,equation,score,sympy_format,lambda_format
1,0.034787796,0.09682393,0.0,0.0968239300000000,PySRFunction(X=>0.0968239300000000)
3,0.005252107,logMp * 0.24378598,0.9453186530975374,logMp*0.24378598,PySRFunction(X=>logMp*0.24378598)
4,0.005252106,log(1.2760849 ^ logMp),1.903997947377669e-07,log(1.2760849**logMp),PySRFunction(X=>log(1.2760849**logMp))
5,0.003605932,1.0324807 - (0.77441883 ^ logMp),0.3760488718808574,1.0324807 - 0.77441883**logMp,PySRFunction(X=>1.0324807 - 0.77441883**logMp)
6,0.0034576538,log(2.0526276 - (0.77089477 ^ logMp)),0.041990000568141915,log(2.0526276 - 0.77089477**logMp),PySRFunction(X=>log(2.0526276 - 0.77089477**logMp))
7,0.002501447,0.93776983 / ((2.4434114 / logMp) + logMp),0.3237209021413488,0.93776983/(logMp + 2.4434114/logMp),PySRFunction(X=>0.93776983/(logMp + 2.4434114/logMp))
9,0.002301188,0.9915016 / ((2.7247202 / (logMp - -0.05467281)) + logMp),0.04172192655562163,0.9915016/(logMp + 2.7247202/(logMp - 1*(-0.05467281))),PySRFunction(X=>0.9915016/(logMp + 2.7247202/(logMp - 1*(-0.05467281))))
11,0.0017208959,(logMp - (-0.0038936962 / FeH)) / ((logMp * logMp) + 2.6476212),0.14529024200559745,(logMp - (-1)*0.0038936962/FeH)/(logMp*logMp + 2.6476212),PySRFunction(X=>(logMp - (-1)*0.0038936962/FeH)/(logMp*logMp + 2.6476212))
13,0.0014977754,(0.6053043 ^ FeH) / (logMp + (2.770251 / (logMp - (-0.004817317 / FeH)))),0.069432043351007,0.6053043**FeH/(logMp + 2.770251/(logMp - (-1)*0.004817317/FeH)),PySRFunction(X=>0.6053043**FeH/(logMp + 2.770251/(logMp - (-1)*0.004817317/FeH)))
