complexity,loss,equation,score,sympy_format,lambda_format
1,0.0076986887,0.5416023,0.0,0.541602300000000,PySRFunction(X=>0.541602300000000)
5,0.0073504653,(0.0019494873 / logRhoStar) + 0.5390689,0.011571599578105704,0.5390689 + 0.0019494873/logRhoStar,PySRFunction(X=>0.5390689 + 0.0019494873/logRhoStar)
6,0.0073146382,log((0.0037502747 / logRhoStar) + 1.7143133),0.0048860441082160195,log(1.7143133 + 0.0037502747/logRhoStar),PySRFunction(X=>log(1.7143133 + 0.0037502747/logRhoStar))
7,0.005333372,0.539813 + (-0.0023594187 / (logMp - 1.4524778)),0.31589388968983984,0.539813 - 0.0023594187/(logMp - 1*1.4524778),PySRFunction(X=>0.539813 - 0.0023594187/(logMp - 1*1.4524778))
8,0.005327219,(-0.0023644422 / log(logMp + -0.45251215)) + 0.54101807,0.0011543451358833902,0.54101807 - 0.0023644422/log(logMp - 0.45251215),PySRFunction(X=>0.54101807 - 0.0023644422/log(logMp - 0.45251215))
9,0.005203945,((-0.0072012856 / (logMp - 1.4564273)) / logF) + 0.53259605,0.023412346608334397,0.53259605 - 0.0072012856/(logF*(logMp - 1*1.4564273)),PySRFunction(X=>0.53259605 - 0.0072012856/(logF*(logMp - 1*1.4564273)))
10,0.005201306,0.5328391 + ((-0.0071402905 / log(-0.45610353 + logMp)) / logF),0.0005072439014846514,0.5328391 - 0.0071402905/(logF*log(logMp - 0.45610353)),PySRFunction(X=>0.5328391 - 0.0071402905/(logF*log(logMp - 0.45610353)))
11,0.004950706,(-0.0024251528 / (logMp - 1.4526213)) + (0.57415146 - (0.05091718 / logMp)),0.049379555226621255,0.57415146 - 0.0024251528/(logMp - 1*1.4526213) - 0.05091718/logMp,PySRFunction(X=>0.57415146 - 0.0024251528/(logMp - 1*1.4526213) - 0.05091718/logMp)
13,0.003939022,((-0.002264278 / (logMp - 1.4504641)) + (0.0033670166 / (logRhoStar + -0.04714234))) + 0.5278751,0.11429886176299646,0.5278751 + 0.0033670166/(logRhoStar - 0.04714234) - 0.002264278/(logMp - 1*1.4504641),PySRFunction(X=>0.5278751 + 0.0033670166/(logRhoStar - 0.04714234) - 0.002264278/(logMp - 1*1.4504641))
